player,squad,minutes,matches,defending,finishing,shotstopping,providing,progressing,total,area_control,distribution,position,agg_position,rank_position,top_category_1,top_value_1,top_category_2,top_value_2,top_category_3,top_value_3,placement_position,defending_ranking,finishing_ranking,providing_ranking,progressing_ranking,shotstopping_ranking,area_control_ranking,distribution_ranking,season,league,league_name,start_date,end_date,tag
oleksandr zinchenko,arsenal,1655,21,329.30441555048463,174.57431218879393,0.0,580.4595880277398,1422.5187828703872,2506.8570986374057,0.0,0.0,LB,FB,FB,progressive_passes_p90,10.114803625377643,passes_into_final_third_p90,8.3202416918429,passes_completed_p90,70.3141993957704,LB,0.7550200803212851,0.5290858725761773,0.8893617021276595,0.9922027290448343,,,,2022,Premier League,Premier League,,,
thiago silva,chelsea,1812,21,1075.818552412436,10.91089451179962,0.0,205.12481682183284,1226.88644427382,2518.7407080198886,0.0,0.0,CB,CB,CB,clearances_p90,4.5198675496688745,blocks_p90,1.490066225165563,tackles_won_p90,1.0430463576158941,RCB,0.9979919678714859,0.01662049861495845,0.5659574468085107,0.9707602339181286,,,,2022,Premier League,Premier League,,,
gabriel dos santos,arsenal,2515,28,752.9528393244549,415.7609203101499,0.0,83.15218406202999,1296.493735316251,2548.359679012886,0.0,0.0,CB,CB,CB,blocks_p90,1.3240556660039762,aerials_won_p90,2.182902584493042,clearances_p90,3.256461232604374,LCB,0.9738955823293173,0.7950138504155124,0.29148936170212764,0.9766081871345029,,,,2022,Premier League,Premier League,,,
alisson,liverpool,2340,26,0.0,0.0,1363.0071392103791,0.0,0.0,2756.704305033184,935.4739646091379,458.2232012136668,GK,GK,GK,psxg_p90,0.3076923076923077,saves_p90,2.9615384615384617,ball_recoveries_p90,1.7307692307692308,GK,,,,,0.9696969696969697,0.8181818181818182,0.9090909090909091,2022,Premier League,Premier League,,,
mohamed salah,liverpool,2315,26,174.7965160506941,1363.0071392103791,0.0,1180.6191335318679,253.75466725529634,2972.1774560482377,0.0,0.0,RW,FW,WFW,goals,11.0,passes_into_penalty_area_p90,1.982721382289417,sca_p90,3.809935205183585,RW,0.5522088353413654,0.9806094182825484,0.9893617021276596,0.45614035087719296,,,,2022,Premier League,Premier League,,,
martin odegaard,arsenal,2306,27,56.939230167187,1019.9854755683389,0.0,1223.9825706820066,958.9787971239683,3259.886073541501,0.0,0.0,CM,MF,MF,goals,10.0,sca_p90,5.229835212489159,passes_into_penalty_area_p90,2.966175195143105,RCM,0.2891566265060241,0.9501385041551247,0.9914893617021276,0.9122807017543859,,,,2022,Premier League,Premier League,,,
kevin de bruyne,manchester_city,1938,25,203.31444010117266,500.0,0.0,1646.0,968.53,3317.844440101173,0.0,0.0,CM,MF,MF,sca_p90,6.315789473684211,assists,12.0,passes_into_penalty_area_p90,3.575851393188855,LCM,0.606425702811245,0.8365650969529086,0.997872340425532,0.9142300194931774,,,,2022,Premier League,Premier League,,,
bukayo saka,arsenal,2403,28,382.0780276470791,1256.7318727556806,0.0,1423.0362408797405,463.2143598964584,3525.060501178958,0.0,0.0,RW,FW,WFW,goals,12.0,passes_into_penalty_area_p90,1.8726591760299625,sca_p90,4.644194756554308,LW,0.8192771084337349,0.9750692520775623,0.9957446808510638,0.6764132553606238,,,,2022,Premier League,Premier League,,,
kieran trippier,newcastle_utd,2287,26,774.7469470004113,98.05806756909202,0.0,1292.4053305606328,1428.5491515735603,3593.7594967036966,0.0,0.0,RB,FB,FB,tackles_won_p90,1.4954088325317008,sca_p90,4.9191080017490165,passes_progressive_distance_p90,434.49497157848714,RB,0.9819277108433735,0.3878116343490305,0.9936170212765958,0.9941520467836257,,,,2022,Premier League,Premier League,,,
harry kane,tottenham,2505,28,105.32828839033787,2589.0566401132064,0.0,523.4807951177797,507.11493343648016,3724.9806570578044,0.0,0.0,FW,FW,FW,goals,21.0,winning_goals,8.0,shots_on_target_p90,1.4371257485029938,ST,0.39759036144578314,0.9944598337950139,0.8553191489361702,0.7037037037037037,,,,2022,Premier League,Premier League,,,
rodri,manchester_city,2237,26,841.478801957409,343.20323649182205,0.0,706.0180864974626,1919.0552171676723,3809.7553421143657,0.0,0.0,DM,MF,MF,passes_progressive_distance_p90,385.0648189539562,passes_into_final_third_p90,9.213232007152437,progressive_passes_p90,8.609745194456861,CDM,0.9939759036144579,0.7423822714681441,0.9425531914893617,0.9980506822612085,,,,2022,Premier League,Premier League,,,
